Tipo de Manifestação;Assunto;Subassunto;Resposta à Pesquisa;Resposta à pesquisa;Respostas à Manifestação;Resposta à manifestação;A sua demanda foi atendida?;A resposta fornecida foi fácil de compreender?;Você está satisfeito(a) com o atendimento prestado?;Nº Manifestação;Teor da Demanda;Parecer da área técnica;Deixe aqui seu comentário:;Necessidade de Reabertura;Área
Reclamação;Defesa e vigilância sanitária;Importação - Remessa expressa e postal;17/06/2025;17/06/2025 10:11;23/04/2025;23/04/2025 11:20:50;Não;Regular;😠 Muito Insatisfeito;18800.159686/2025-51;Fiz uma encomenda em janeiro, dia 21/02 recebi uma atualização que havia sido encaminhada para análise da Anvisa, eu entrei em contato com a Anvisa eles falaram que a encomenda ainda não chegou lá, e eu estou aguardando uma atualização dês de a data citada anteriormente, 21/02, hoje já é dia 17/04, então gostaria de receber uma atualização sobre a minha encomenda de código NM698658087BR.;"Prezado(a) Senhor(a),

Informamos que a remessa Postal NM698658087BR não foi designada para a fiscalização da Anvisa pela Receita Federal do Brasil, ou seja, não está disponível para a fiscalização deste órgão no Sistema de dados de controle das importações, Sistema SISCOMEX Remessa – SISREM. Informamos que não é possível qualquer ação da Anvisa até que a remessa esteja disponível no sistema Siscomex remessa, e isso só ocorre após a designação.
Esclarecemos que a guarda e manuseio das remessas postais constitui procedimento operacional postal sob competência da Empresa Brasileira de Correios e Telégrafos conforme o disposto no artigo 25, inciso IV do Decreto n. 1.789, de 1.996. Nenhuma remessa fica sob a guarda da Anvisa. Assim, para que a inspeção física e anuência da importação seja realizada pela ANVISA, é necessário que a Empresa Brasileira de Correios e Telégrafos, proceda a inclusão do registro da remessa no Sistema Siscomex Remessa - SISREM e, apresente fisicamente a remessa internacional para a fiscalização sanitária. A fiscalização da ANVISA somente ocorre na presença de um funcionário da Empresa Brasileira de Correios e Telégrafos, não permanecendo em nenhum momento de posse da remessa Postal Internacional.
Orientamos que entre em contato com a Empresa Brasileira de Correios e Telégrafos por meio da Central de Atendimento ao Cliente – CAC 0800 725 0100 e solicite o registro de Pedido de Informação quanto a localização de sua remessa internacional. Sugerimos ainda que acesse a Ouvidoria da Empresas Brasileira de Correios e Telégrafos (ECT).


Atenciosamente,
PAFRE/Gerência de Controle Sanitário de Produtos e Empresas em Portos, Aeroportos, Fronteiras e Recintos Alfandegados - GCPAF/GGPAF.";Minha encomenda ainda está retida, nenhum órgão relacionado, resolve meu problema.;NÃO;PAFRE
Reclamação;Defesa e vigilância sanitária;Importação - Remessa expressa e postal;14/06/2025;14/06/2025 06:57;13/06/2025;13/06/2025 10:44:59;Não;Difícil de comprender;🙁 Insatisfeito;18800.245152/2025-46;"Fiz uma compra na Shoppe por volta do dia 20/04/2025, porém ess pedido está com status ""em fiscalização na alfândega de importação- ANVISA"" desde o dia 02/05, sem nenhuma atualização desde então. Isso é absurdo, mais de um mês para liberar uma remessa? Já extrapolou muito o prazo. Peço que seja verificado o motivo dessa demora. Desde já, obrigada";"Prezado(a) Senhor(a),
Não identificamos em sua solicitação de informação o número do Expediente ou Processo da documentação protocolada na Anvisa.
Nos casos de consultas sobre importações/exportações, sob anuência da ANVISA para que consigamos rastreá-la e visualizar sua situação é necessário informar o nº do Expediente ou Processo peticionado neste Órgão, além do número do conhecimento de carga. Somente com a documentação de cada carga peticionada/protocolada na Anvisa é que teremos mais informações para nos manifestarmos de forma adequada.
Mais informações podem ser obtidas em: Manual do Solicita através do Link: https://www.gov.br/anvisa/pt-br/centraisdeconteudo/publicacoes/portos-aeroportos-e-fronteiras/guias-e-manuais/28-11-2023-manual-de-remessa-expressa-versao-3-0.pdf/view)

Atenciosamente,
Gerência de Controle Sanitário de Produtos e Empresas em Portos, Aeroportos, Fronteiras e Recintos Alfandegados – GCPAF/PAFRE";Me informaram apenas que precisa enviar números, protocolos e etc, sem me informar como ou onde localizar tais dados, acredito que são informações que deveriam ser passadas da forma mais simplificada possível para que o cliente consiga resolver seu problema. Minha remessa ainda está super atrasada e não sei como resolver ;NÃO;PAFRE
Denúncia;Defesa e vigilância sanitária;Medicamento - Irregularidades;11/04/2025;11/04/2025 18:01:22;27/02/2024;27/02/2024 16:20:15;Sim;Muito fácil de compreender;😀 Muito Satisfeito;25072.005315/2024-14;"Há um site, https://ohypervision.com.br, que está vendendo um produto que promete revitalizar a visão, inclusive, para pessoas que possuem glaucoma, em 7 dias. Nele, há o símbolo da ANVISA (Como se o produto fosse autorizado), porém, o site apresenta todas as características de fraude: promessa milagrosa e rápida, um vídeo longo, envolvente, que conta a história de uma pessoa que teve a visão restaurada após descobrir o ""segredo"" que a indústria farmacêutica ""não quer que descubramos"" e diversos depoimentos falsos que, segundo o site, foram postados no Facebook.
Gostaria que averiguasse a existência do produto Hupervision (cápsulas) bem como o seu registro junto ao órgão.
Conheço uma pessoa que ia comprar o produto, pois acreditou nos relatos do site, bem como no vídeo. Caso tivesse comprado, iria se arrepender, caso não tivesse, também, seu problema se saúde agravado.
Grato";"Prezado(a),

Informamos que a denúncia foi cadastrada para abertura de dossiê investigativo e medidas cabíveis.

Permanecemos à disposição.


Atenciosamente,

COALI | COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO SANITÁRIA DE ALIMENTOS";;;COALI
Denúncia;Defesa e vigilância sanitária;"Produtos para saúde - Irregularidades

";17/04/2025;17/04/2025 16:14:42;17/04/2025;17/04/2025 15:56:13;Sim;Muito fácil de compreender;😀 Muito Satisfeito;25072.007347/2025-27;"Prezados(as),

Venho, por meio deste, formalizar a denúncia de irregularidades identificadas em dois dispositivos médicos, especificamente cateteres angiográficos, cujas informações constam detalhadas abaixo.

Os produtos em questão pertencem à categoria Cateteres para Infusão Venosa, a qual está listada na Resolução RE nº 2605/2006 da ANVISA como de uso único proibido de reprocessamento. No entanto, ambos os rótulos apresentam a inscrição ""O fabricante recomenda uso único"", o que contraria diretamente as diretrizes estabelecidas pela agência.

Além disso, os rótulos não estão em conformidade com a norma ABNT ISO 15223-1, que define os requisitos para símbolos e informações a serem utilizadas em rótulos de produtos médicos.

Diante das irregularidades constatadas, solicito a análise e as providências cabíveis por parte da ANVISA. Anexo a este e-mail, envio as imagens dos rótulos para verificação.

Segue abaixo o detalhamento dos produtos denunciados:

Produto 1
Nome: Cateter Alvision® JL 4.0 - 5F
Tipo: Cateter angiográfico JL 4.0 - 5F - 100 cm
Registro ANVISA: 80102511409
Referência (REF): 501110019704
Lote (LOT): 5230901007
Data de Fabricação: 01/09/2023
Validade: 01/09/2026
Uso único: Recomendado pelo fabricante
Instrução: Não usar se a embalagem estiver danificada
Fabricante:

Nome: Alvimedica Tibbi Urunler Sanayi ve Dis Ticaret A.S.
Endereço: Istanbul Trakya Serbest Bölgesi - Ferhatpasa SB Mahallesi, Atatürk Bulvari No: 1634540 - Catalca, Istambul - Turquia
Importador e Distribuidor:

Nome: BHMedical Dist. e Imp. de Prod. Médicos Hospitalares Ltda
CNPJ: 31.248.191/0001-04
Endereço: Praça Raimunda Magela, 95 - Loja 22, Inconfidentes, Contagem - MG, CEP 32.280-005
Responsável Técnico: Gardel Silva Matoso (COREN-MG: 582.037)
Produto 2
Nome: Cateter Angiográfico Multipurpose A-1 5F x 100CM URSA
Registro/Notificação ANVISA: 812315500014
Referência (REF): 2103M5A1
Lote/Número de Série: 230302B031-06
Data de Fabricação: 02/03/2023
Validade: 02/03/2026
Uso único: Recomendado pelo fabricante
Instrução: Consulte instruções de uso no site totallife.com.br
Fabricante:

Nome: Curatia Medical Limited
Endereço: Jiang Road, New District, Suzhou, China
Importador e Distribuidor:

Nome: Total Life Medical Solutions
CNPJ: 31.065.500/0139
Endereço: Rua Roque Brisque, 80, Vinhedo - SP, CEP 13285-423
Responsável Técnica: Juliana Luz Banuta (CROSP 82941)";"Prezado (a) Senhor (a),

Em atenção ao seu questionamento, informamos que o produto Cateter Angiográfico Cardiovascular ALVISION, registro nº 80102511409, está enquadrado como produto de reprocessamento proibido. Portanto, na rotulagem desse produto, deve constar a expressão “Proibido Reprocessar”.
Em relação ao produto Cateter Angiográfico URSA, notificado nº 81231550014, foi enquadrado pela empresa como Produto passível de reprocessamento. Desse modo, a empresa utiliza a expressão: “O Fabricante recomenda uso único”, conforme Resolução – RDC nº 156/2006. Essa expressão é utilizada para os produtos que não enquadram na lista da RE Anvisa 2605, de 2006, e cujos fabricantes não apresentaram justificativa técnica para o enquadramento do produto como sendo de reprocessamento proibido, porém que entendem que o produto deva ser utilizado uma única vez.
Importante destacar que os fabricantes e importadores podem propor o enquadramento dos produtos na solicitação do registro, conforme § 3º, Art.4º, Resolução – RDC nº 156/2006. Além disso, não consta explicitamente o cateter angiográfico na RESOLUÇÃO - RE Nº 2.605, DE 11 DE AGOSTO DE 2006 que estabelece a lista de produtos médicos enquadrados como de uso único proibidos de ser reprocessados.
Considerando que os processos de notificação e de registro de dispositivos médicos são sujeitos a avaliação e reavaliação processual, auditoria, monitoramento de mercado e inspeção pela autoridade sanitária competente e nos casos em que se evidenciem inconsistências ou necessidade de complementação de informações, os detentores serão instados a adequar seus processos, de acordo com os Art. 37. Art.38 da Resolução – RDC nº 751/2022, informamos que a área técnica solicitará que a empresa TOTAL LIFE COMÉRCIO DE PRODUTOS MÉDICO- HOSPITALAR LTDA-EPP reavalie o enquadramento do produto, tendo em vista o item 19 da Resolução – RE Nº 2.605, DE 11 DE AGOSTO DE 2006

Desde já nos colocamos à disposição para mais esclarecimentos.

Atenciosamente,
GEMAT/GGTPS";;;GEMAT
Solicitação;Informações processuais;;13/05/2025;13/05/2025 06:04:47;24/02/2025;24/02/2025 09:43:09;Sim;Muito fácil de compreender;😀 Muito Satisfeito;25072.008096/2025-06;"Assunto: Solicitação de informações sobre apuração da denúncia 25072.060097/2024-72

Prezados,

Recebi a resposta informando que a denúncia registrada sob o protocolo 25072.060097/2024-72 foi encaminhada para a Vigilância Sanitária de Belo Horizonte e do Estado de Minas Gerais, que realizarão o processo de averiguação.

Diante disso, gostaria de solicitar as seguintes informações:

1. Houve alguma atualização sobre o andamento da investigação?


2. Existe um prazo estimado para a conclusão da auditoria e para a divulgação dos resultados?


3. O relatório final ou parecer da auditoria será disponibilizado ao denunciante? Se sim, como posso acessá-lo?



Aguardo retorno e agradeço pela atenção.

Atenciosamente,

Warley Medina Chaves";"Prezado Usuário,

Em resposta a sua solicitação de informações sobre a apuração da denúncia 25072.060097/2024-72, esta GSTCO expõe que o relato foi encaminhado a Vigilância Sanitária de Belo Horizonte e a do estado de Minas Gerais e essas realizaram ações de inspeção para a averiguação das não conformidades apontadas na denúncia.
As ações ocorreram em dezembro de 2024 (inspeção) e janeiro de 2025 (reinspeção).
Os resultados dessas inspeções estão descritos em Relatórios e o acesso a mais detalhes deve ser solicitado diretamente à Vigilância local competente, que tem a autonomia em relação a divulgação de dados de ações de fiscalização.
Destacamos ainda que a Anvisa, por meio desta GSTCO, seguirá no monitoramento contínuo dos encaminhamentos relacionados a presente denúncia de forma conjunta com a Vigilância Sanitária de Belo Horizonte e do estado de Minas Gerais.

Atenciosamente,

Equipe Técnica
Gerência de Sangue, Tecidos, Células, Órgãos e Produtos de Terapia Avançada
GSTCO/GGBIO/DIRE2/ANVISA
sangue.tecidos@anvisa.gov.br
Fone: (61) 34626826/6816";"Gostaria de expressar minha total satisfação com a atuação da ANVISA, especialmente por meio da Gerência de Sangue, Tecidos, Células, Órgãos e Produtos de Terapia Avançada (GSTCO), na apuração da denúncia nº 25072.060097/2024-72.

A resposta rápida, articulada e responsável entre a ANVISA e as Vigilâncias Sanitárias municipal e estadual resultou em inspeções eficazes, realizadas em dezembro de 2024 e janeiro de 2025. Essas ações permitiram a averiguação de não conformidades graves que poderiam ter causado sérias consequências à saúde pública.

A Fundação Hemominas é uma instituição de grande relevância para a sociedade mineira e para o SUS, sendo referência nacional na coleta, testagem, processamento e distribuição de sangue e hemocomponentes, além de atuar diretamente na triagem sorológica de doadores para transplantes de órgãos e tecidos. Qualquer fragilidade nos seus processos compromete não apenas a segurança dos receptores, mas também a credibilidade de um sistema vital para milhares de vidas.

A apuração realizada evitou que Minas Gerais enfrentasse uma calamidade semelhante à que ocorreu no Rio de Janeiro, onde pacientes receberam órgãos de doadores soropositivos. A atuação firme da ANVISA foi essencial para proteger vidas, garantir a segurança do sistema de transplantes e preservar a integridade de uma instituição pública fundamental como a Hemominas.

Agradeço especialmente pela transparência, pelo comprometimento e pelo monitoramento contínuo da situação. A existência de um canal de denúncias acessível, somado à atuação técnica e isenta da ANVISA, reforça a confiança da população no papel deste órgão como pilar da vigilância sanitária e da saúde pública no Brasil.

Atenciosamente,

Warley Medina Chaves
Servidor da Fundação HEMOMINAS e FHEMIG";;GSTCO
Denúncia;Defesa e vigilância sanitária;"Cosméticos - Irregularidades

";16/04/2025;16/04/2025 12:38:19;12/03/2025;12/03/2025 16:23:38;Não;Difícil de comprender;😠 Muito Insatisfeito;25072.008439/2025-24;"Informo que a empresa Biomelan, inscrita sob o CNPJ 10.441.023/0001-95, localizada na Rua dos Guajajaras, 880, Sala 807, Belo Horizonte - MG, CEP: 30180-100, está comercializando produtos cosméticos sem registro na ANVISA, além de itens sem qualquer informação obrigatória e até mesmo produtos com registros cancelados pelo órgão regulador.

Além disso, a marca trancou seu site para ocultar informações de rótulagem incorretas e desinformar os consumidores. Também há indícios de que diversos produtos que deveriam ser classificados como Grau 2 estão registrados erroneamente como Grau 1. Um exemplo disso é o produto registrado sob o número 25351.376469/2022-81, que deveria ser classificado como Grau 2, mas está irregularmente registrado como Grau 1. A marca se encontra com mais de 19 produtos cancelados na Anvisa e mesmo assim continua vendendo.

Outro caso grave é um produto comercializado sem qualquer registro na ANVISA, contendo ingredientes farmacêuticos ocultos na formulação, conforme indicado no seguinte link: Biomelan - Pomada Noturna Enzimática.

Por fim, ressalta-se que o próprio nome Biomelan remete ao tratamento de melasma, o que não é permitido para cosméticos, pois sugere uma finalidade terapêutica, infringindo as normas da ANVISA.

Serviço";"Prezado (a),

Agradecemos por ter entrado em contato conosco para relatar sua reclamação. A participação da população visando à qualidade dos produtos sujeitos à regulação da ANVISA é muito importante para fortalecer o Sistema Nacional de Vigilância Sanitária e, consequentemente, a garantia da qualidade desses produtos no mercado brasileiro.

Informamos que referente ao produto Biomelan - Pomada Noturna Enzimática foi instaurado um dossiê de investigação para apuração dos fatos e que, após a conclusão do processo, serão adotadas as medidas cabíveis em relação à empresa, caso necessário.

Com relação ao produto (processo nº 25351.376469/2022-81), relativo ao PEELING DE PORCELANA EM GEL - BIOMELAN DERMOCOSMÉTICOS, foi avaliado e se encontra em situação regular, após atendimento de correções determinadas pela área de registro desta Agência.

Atenciosamente,
Coordenação de Inspeção e Fiscalização de Saneantes, Cosméticos e Produtos de Higiene (COISC).";A empresa contínua vendendo produtos sem Anvisa e não tomaram nenhuma posição. ;NÃO;COISC
Reclamação;Medicamentos e Aparelhos;;25/05/2025;25/05/2025 00:44:16;28/02/2025;28/02/2025 08:35:06;Parcialmente Atendida;Muito fácil de compreender;🙂 Satisfeito;25072.008889/2025-17;"Venho reclamar da falta de sinalização nas embalagens dos medicamentos similares para que eles sejam, facilmente, reconhecidos pelos consumidores, assim como ocorre com os medicamentos genéricos.

Atualmente, para saber se um medicamente é similar, é necessário consultar uma lista fornecida pela Anvisa.

Isso dificulta a vida do consumidor.";"Prezado, agradecemos por compartilhar sua preocupação. A Anvisa tem trabalhado para melhorar a transparência e a acessibilidade das informações sobre medicamentos similares. Uma das medidas adotadas é a inclusão da frase ""MEDICAMENTO SIMILAR EQUIVALENTE AO MEDICAMENTO DE REFERÊNCIA"" na bula dos medicamentos intercambiáveis. A bula dos medicamentos pode ser consultada no Bulário Eletrônico da Anvisa, através do endereço https://consultas.anvisa.gov.br/#/bulario/. A consulta sobre a intercambialidade também pode ser consultada em https://consultas.anvisa.gov.br/#/medicamentos/.
De toda forma, sua sugestão é válida e será encaminhada para avaliação. Agradecemos novamente por seu feedback e estamos à disposição para qualquer outra dúvida ou sugestão.

Atenciosamente,
Anvisa";;;CBRES
Reclamação;Defesa e vigilância sanitária;"Autorização de Funcionamento de Empresas - Morosidade

";30/04/2025;30/04/2025 09:47:38;12/03/2025;12/03/2025 12:02:11;Sim;Muito fácil de compreender;😀 Muito Satisfeito;25072.009527/2025-43;Prezados, foi protocolado no dia 26/09/2023, processo referente Concessão da Autorização de Funcionamento de Empresa - AFE para DISTRIBUIR Produtos para Saúde, da empresa 405.475.491/0001-40 - VM COMERCIO DE PRODUTOS HOSPITALARES LTDA, Protocolo: 20230000000922612, Expediente: 1021024236, Número de Transação: 8445222023, Número do Processo: 25351631192202346, conforme anexo, e até o momento não foi concluído a análise por parte da ANVISA, uma vez que o prazo de publicação da autorização é de 60 dias, definidos na RDC nº 743/2022. Solicito atendimento a esse pleito.;"Prezado(a) Senhor(a),
Informamos que o pedido da empresa, processo/expediente 1021024/23-6 (Alteração AFE) se encontra tramitado para o técnico analista desta Coafe.
O técnico será notificado sobre a demanda para análise do processo/expediente.
Solicitamos que a empresa aguarde a análise e publicação em DOU ou atualização no sistema, que deve ocorrer com a maior brevidade possível.
Atenciosamente,
Coordenação de Autorização de Funcionamento de Empresa – Coafe";;;COAFE
Denúncia;Defesa e vigilância sanitária;Cosméticos - Irregularidades;16/04/2025;16/04/2025 12:37:30;27/03/2025;27/03/2025 16:43:13;Não;Muito fácil de compreender;😠 Muito Insatisfeito;25072.011268/2025-11;"A marca Mesoestetic é amplamente reconhecida no exterior por trabalhar com altas concentrações de ácidos e ativos que não são permitidos no Brasil. No entanto, ao registrar os produtos Cosmelan e Dermamelan, a empresa omitiu a presença de ácido azelaico na formulação. No Brasil, esse tipo de produto é classificado como medicamentoso.

Além disso, a Mesoestetic comercializa diversos produtos injetáveis, alguns dos quais já foram proibidos por terem sido registrados indevidamente como cosméticos. No entanto, muitos ainda estão disponíveis em seu site, pois a vigilância sanitária não realizou a devida verificação, e todos permanecem registrados de forma incorreta. Seguem as fotos do produto original adquirido em Barcelona para referência.

Endereço: Asa Sul CLS 312 Bloco A, Loja 06 - Asa Sul, Brasília - DF, 70365-510
Site: https://lp.mesoesteticbrasil.com.br

Peço que realizem uma análise completa da marca.
";"Prezado(a),

Informamos que a Gerência-Geral de Cosméticos e Saneantes (GGCOS) conta com um programa de auditoria, a fim de verificar a regularidade de produtos em comercialização no país. Esse programa segue um fluxo de análise inicial das demandas recebidas e, caso seja constatada alguma irregularidade, são realizadas ações de adequação junto às empresas ou o cancelamento da regularização do produto, de acordo com as características e a natureza das infrações identificadas.
Nesse sentido, agradecemos o seu apoio no processo de identificação de produtos irregulares e esclarecemos que as informações apresentadas foram encaminhadas para a verificação dos dados do processo e, caso seja confirmada a irregularidade, serão tomadas as medidas cabíveis de acordo com o disposto na Lei 6360/1976, Lei 6437/1977, RDC 907/2024.
Esclarecemos ainda que é necessário aguardar a conclusão de todas as etapas da verificação. Constatadas irregularidades, a empresa será comunicada da necessidade de adequação no processo(s) ou do cancelamento do(s) processo(s), conforme citado acima. Caso haja o cancelamento do(s) processo(s), a empresas poderá ainda ingressar com Recurso Administrativo, conforme disposto na RDC 266/2019, devendo o interessado / denunciante aguardar a conclusão de todas as etapas para verificar o resultado definitivo das ações que estão sendo tomadas, considerando prazos determinados em normas.

Atenciosamente,

Gerência-Geral de Cosméticos e Saneantes – GGCOS";A empresa contínua com os produtos irregulares e a resposta da Anvisa não adiantou de nada.;NÃO;COISC
Reclamação;Agente Público;Outros;27/05/2025;27/05/2025 09:09:34;10/04/2025;10/04/2025 06:57:46;Não;Muito fácil de compreender;😠 Muito Insatisfeito;25072.011326/2025-14;Sou servidor da Anvisa desde 2014 e em 2024 recebi diagnóstico tardio de autismo. Solicitei através do processo SEI 25351.824497/2024-81 atualização do meu cadastro funcional como PCD, para posterior usufruto de direitos. Conforme estabelece o parágrafo segundo do artigo primeiro da Lei 12764/2012, a pessoa com transtorno do espectro autista é considerada pessoa com deficiência, para todos os efeitos legais. Além disso, também tenho condromalácia patelar, condição redutora de mobilidade e que também pode ser considerada como deficiência, a depender do grau. Passei por uma primeira perícia com junta médica da Anvisa em que houve recusa em analisar a questão da condromalácia patelar e fui vítima de capacitismo quanto à questão do autismo. As peritas que conduziram esta primeira junta médiuca se mostraram completamente despreparadas para tratar do assunto. O laudo apresentado pelas médicas peritas não fez qualquer menção à condromalácia patelar e negou o meu pedido ao não me reconhecer como pessoa com deficiência. Não foi apresentada qualquer argumentação técnica que justificasse a recusa do pedido. Entrei com um pedido de reconsideração, o qual não foi avaliado pela mesma junta técnica devido a indisponibilidade de uma das peritas. Então, foi necessário entrar com pedido de recurso, o qual foi analisado por outra junta médica. Mais uma vez a solicitação em relação à condromalácia patelar não foi avaliada e o pedido foi negado sem qualquer argumentação técnica que justifique. Mesmo que se desconsidere a questão da condromalácia patelar que não foi avaliada, as provas apresentadas em relação ao autismo deveriam ser suficientes para comprovar a deficiência, conforme estabelece a lei. Foram apresentados laudos de neuropsicólogos e psiquiatras, além do CIPTEA. Infelizmente existe uma cultura na Anvisa de invalidar laudos psiquiátricos de forma totalmente arbitrária, conforme já relatado por diversos servidores, além de um flagrante desrespeito ao ordenamento jurídico, já que a lei 12764/2012 não deixa qualquer dúvida quanto aos meus direitos. Com a recusa do meu pedido de recurso tive a esfera administrativa indevidamente esgotada, sendo agora forçado a apelar para a esfera judicial.;"Prezado,

Sua denúncia foi recebida pela Agência Nacional de Vigilância Sanitária – Anvisa, e foi tramitada para as unidades competentes, que informaram a abertura de processo apuratório.
Conforme o art. 22 do Decreto nº 9.492/2018, o conteúdo da resposta conclusiva relativa às denúncias se refere à informação sobre o seu encaminhamento às unidades apuratórias competentes ou sobre o seu arquivamento.
Registramos que o denunciante terá seus elementos de identificação preservados desde o recebimento da denúncia, nos termos do disposto no § 7º do art. 10 da Lei nº 13.460/2017, e no art. 4º-B da Lei nº 13.608/2018.

Sua opinião é muito importante para nós! Por favor, responda a pesquisa de satisfação e avalie nosso atendimento.

Atenciosamente,
Agência Nacional de Vigilância Sanitária | Anvisa";O protocolo foi concluído sem qualquer resposta. Informar que as unidades competentes abriram processo apuratório, é o mesmo que nada. ;NÃO;CORET
